;text
99172;JAIRO CANCION PARA SU ESPOSA TERESA https://t.co/HMJ9ndOiU7 vía @YouTube
73441;Quedan claras las prioridades de algunos limeños, luego vemos mensajes solicitando oxígeno, concentradores y camas UCI 😒 https://t.co/pcUsHWqoFx
09320;La entrevista de ayer a López Aliaga por fin me permitió entender por qué su pasquín virtual oficial le robó el logo a una bebida alcohólica. https://t.co/fdV5KHasgS
73763;"Interesante relato de como se ""transportaba la #vacuna contra la viruela"" por el mundo, hace más de 200 años https://t.co/rOnOTCvY1Z"
56930;Por salud mental, Ya no veo esto👇que se dice llamar “periodismo” @Cuarto_Poder es un programa político que es parcializado y si antes era parte de la cultura ver dominicales eso ya es pasado,hay alternativos en YouTube y en redes y otras opción para no sentir repulsión de esto🤮 https://t.co/1jO0IwLBdz
05442;"1/5
NOVENO ANIVERSARIO DE LA MUERTE DEL MAESTRO JAIRO VARELA

El Maestro Jairo Varela es objeto de numerosos homenajes en el día de hoy 8 de agosto, jornada en que se recuerda su partida que dejó un gran legado que el GRUPO NICHE continúa llevando con orgullo en cada concierto. https://t.co/sAHigA00aa"
27460;@Carito2205 Un pelao juicioso
70400;@Jairo_Ramirez Y no quería cervecita? 🧐
81283;"Yo de la nada borracha por una birra: JAJAJAJA si es cierto que YO tengo una maestría JAJA yo jajjsksks Burpee oiga tengo una maestría JAJA soy tan letrada
Jairo: https://t.co/MgCR0rtD6E"
60545;"""Cada día resulta más evidente que la famosa Comisión de la Verdad, devenida en Comisión de Aplausos de Mancuso, en lugar de cerrar heridas, las agrava"": Salud Hernández-Mora https://t.co/x4GklDi4ta"
38656;"Si @ClaudiaLopez no deja a un lado sus cálculos políticos, los bogotanos le seguiremos exigiendo que tome el control de la ciudad. 

Unámonos en esta gran petición que hacemos con @andreacespedes9. 

¡Somos más los que te queremos Bogotá! https://t.co/gCvpNwHN5e"
95395;@jairo_trellez @GustavoBolivar Pero tooodos sabemos que bruno es petrista. Ahora no se hagan los guevones https://t.co/VwqgVqdMIJ
18688;"Para culminar la cobertura de hoy. El destacado fue Jairo Concha, con un rendimiento ascendente en Alianza Lima. 

No decayó ante su mal momento y llegaba hasta entrenar por su cuenta, persistió y actualmente se lo ve  con más confianza y siendo atrevido en la ofensiva íntima. https://t.co/5RqL4Q0wDk"
16205;"💙 VOTOS NOCTURNOS 💙

Juntemos 30k de votos en este tweet y voy a estar respondiendo dms en la noche

#FedeVigevani #FedeVigevaniYLaVecibanda #Piculincito #KCAMexico"
61634;"#LigaBetPlayDimayor🏆
1 |ALI| 🆚️ |PAS| 0
⌚73'

CAMBIOS EN EL AURINEGRIO:

➡️ James Sánchez (26)
➡️ Jairo Molina (19)
➡️ John Pérez (10)

⬅️ Pablo Bueno (09)
⬅️ Julián Guevara (05)
⬅️ Estefano Arango (07)
.
.
.
#AlianzaSomosTodos🟡⚫"
56424;"#LigaBetPlayDimayor🏆
1 |ALI| 🆚️ |PAS| 0
⌚73'

CAMBIOS EN EL AURINEGRIO:

➡️ James Sánchez (26)
➡️ Jairo Molina (19)
➡️ John Pérez (10)

⬅️ Pablo Bueno (09)
⬅️ Julián Guevara (05)
⬅️ Estefano Arango (07)
.
.
.
#AlianzaSomosTodos🟡⚫"
79875;Gareca convoca a jairo pussy!!!!!!
54209;"Mi podio de composiciones del maestro Jairo Varela:

🥇El Amor Vendrá.
🥈Ese Día.
🥉Cómo Podré Disimular.
🎖Busca Por Dentro.
🏅Un Caso Social."
59077;En cuestiones de felicidad, los locos y los idiotas son los expertos.
84685;@marelen33 @jairo_trellez @GustavoBolivar Por andar en malas compañías
06368;@jairo_trellez @GustavoBolivar Cómo le va a echar la culpa a Uribe estas ratas deshumanas https://t.co/8MTof43vUX
00481;"@jairo_trellez @GustavoBolivar Resultó ladrona de energía la rabiosa laika, no paga a los que le instalaron paneles solares ni la energía que le suministra @CodensaEnergia;  agravado con el delito de reconección fraudulenta.
https://t.co/Fh5X0MOU7F https://t.co/LaZA7qd2nC"
47585;Hoy se cumplen 9 años del fallecimiento de una de las más grande leyendas de la salsa,Jairo Varela @gruponiche.Su legado siempre estará con nosotros, sus letras,composiciones y pasión marcaron la historia de 🇨🇴.Hoy lo recordamos con uno de sus clásicos🎶 👇🏿https://t.co/efKtTMzRVM
66692;@jairo_trellez @incoqchica @GustavoBolivar El asunto es muy sencillo Sr. @GustavoBolivar y no es asunto de política, ud no pagó, se hizo el Mk y afectó a un emprendedor. Cuantos acreedores callados a la espera de más ruido para salir a cobrarle? Uds son una pésima calidad de seres humanos, incluyo a su Petro.
05346;Yo siempre supe que las cosas tarde o temprano salen a la luz, pero esto ya me da mucho asco 🤮
67585;@wibeosjo @jairo_trellez @GustavoBolivar Eso le pasó por andar en malas compañías y encima involucrar a los hijos en las mismas
41478;@jairo_trellez @GustavoBolivar Pero tooodos sabemos que bruno es petrista. Ahora no se hagan los guevones https://t.co/VwqgVqdMIJ
09383;"@jairo_trellez @GustavoBolivar Y la deuda es del 2017! Son cínicos los asquerosos ""decentes"" solo baba y mocos"
87104;@mnegrete21 @jairo_trellez @GustavoBolivar Y #Bolivar que es ? Una cucaracha!
03911;@SeguridadCali @CarlosJSolerP @METROCALI Pancho pistolas no es más que un cobarde amenazando estudiantes. A ver si da resultados de verdad evitando por lo menos que a la vuelta de alcaldía o en la mejorada (para robar) Plazoleta Jairo Varela atraquen todos los días. El mequetrefe Soler una diva más de @JorgeIvanOspina
68258;@jairo_trellez @GustavoBolivar Hasta  para  ser  hombre  se nesecita  la  palabra
37347;"Mi podio de composiciones del maestro Jairo Varela:

🥇El Amor Vendrá.
🥈Ese Día.
🥉Cómo Podré Disimular.
🎖Busca Por Dentro.
🏅Un Caso Social."
65673;"@jairo_trellez @GustavoBolivar Sera que Bruno es aliado de URIBE?
Ellos no saben que locuras decir y cada vez que abren la boca es para hundirse ellos mismos."
79493;@jairo_trellez @aopbarranquilla @GustavoBolivar Que tal y el negocio es entre petristas!
