;text
97828;Pienso que la salida de Messi cierra una inmensa era de los mejores cracks en Barcelona. Con Messi estuvieron: Ronaldihno, Xavi, Iniesta, Danny Alves, Zlatan, Henrý, Etto, Neymar, Alexis, Vidal, Lucho Suárez, Rakitic, Puyól, Piqué, Busquét, Ter Stegen, guaje Villa, Grietzman, etc
38818;Messi en una cena de despedida / el de las inferiores de lanus yendo a tomar el colectivo https://t.co/4OqGMx5pm5
08197;@Docstock80 @informacionPSG @AlexaHil77 Ojalá el Milán tuviera esa clase de viejos, no es lo mismo tener a Messi viejo que a gilardino viejo
88803;Tan real como surrealista 😂 Ibai, Messi, el Kun, una camiseta de Batman, y el restaurante 'casa Messi'...  https://t.co/qBUsvBoMxs
78400;No se q piensan ustedes pero Messi llora feo con pinga :/ https://t.co/BiPnE2WvGX
60936;Los hijos de Messi https://t.co/K7p0zyYT9Z
14724;Parte el alma verlo así a Messi 💔 https://t.co/Zc6LGoS7mT
10280;"James Rodriguez: “Agüero se fue al Barcelona por Messi, y ahora Messi se fue. El fútbol es así, a mí me pasó lo mismo. Fui al Everton por Ancelotti, y ahora se fue al Real Madrid"". https://t.co/2BkkipQN4y"
09510;"Juanjo Brau, fisioterapeuta del Barça, se despide de Leo Messi. 

Me ha tocado la fibra 😭💔 https://t.co/Bs8V0XN7N2"
29313;Con Alberto, hasta Messi se quedó sin trabajo. 😳🤔⚽⚽
15299;"El trío de Messi, Neymar y Mbappé es demasiado injusto con el resto. El PSG tendrá el mejor creador del mundo, el mejor regateador del mundo y el mejor goleador del mundo.

 Y además de eso, todavía tendrán a Neymar y Mbappé."
42184;Ojalá un monumento así en el Camp Nou. Messi se merece eso y más. [Vía @MundoDespectivo] https://t.co/Zjvo0U80CS
14400;Los hijos de Messi https://t.co/K7p0zyYT9Z
05793;"Y no, no voy a aceptar que nadie venga a darme clases de barcelonismo.
Messi representa valores con los que me educaron. Valores que los últimos presidentes del Barça se pasaron por los  huevos con el beneplácito de la prensa y de los socios, hasta llevarnos a esta triste ruina. https://t.co/DBbq3b5LLu"
08450;"Messi dijo ""Mi último año de carrera"" y casi me infarto. Después me acordé que no pronuncia las ""S"" y me tranquilcé."
39458;Supongo que nunca una despedida pueda ser algo lindo - Messi
94018;Al Messi en pedo damelo siempre https://t.co/1lSwKBueut
83617;"MESSI al revés jjajaja
ISSEM-archó 🎶
Y a su Barco ⛵️le llamó PSG 🎶
🤣🤣🤣🤣🤣🤣🤣🤣🤣"
96612;@marcosperez84 @Maed1001 @xWhiteblu3 @Zonorck @_Futbolero_ Cabal con la salida de Messi se cago más  xq ya  no tendrán ventas masivas de su camiseta  la gente que iba a verlo a el ya no irá el barca ahora envés de subir va para abajo lo dice un barcelonista de corazón
65152;Yo hoy a las 5 am viendo la conferencia de Messi 😭
30563;Exijo duelo de 1 semana o 2 en las escuelas porque Messi se fue del Barcelona, necesito tiempo para recuperarme de esto
38023;Primera renuncia en Barcelona tras el adiós de Messi https://t.co/fgfBVMYE2C a través de @Ambitocom
37507;Me parece totalmente injusto lo del PSG 🇫🇷 Messi 🇦🇷 , Neymar 🇧🇷 y Mbappe 🇫🇷 . Como les compites? Tienen al mejor creador del mundo, al mejor gambeteador y al mejor goleador.  Y aparte  están Neymar y Mbappe https://t.co/zqUmdnZDuW
28900;Messi viendo a Ibai entrar en su casa: https://t.co/7ET24LkV3Z
60481;"Ya no hay Juegos Olímpicos
Messi lloró
Es domingo
Y esta por llover. https://t.co/KQIzq804bG"
66853;Coscu se iba de España el 4/8 pero le cancelaron el vuelo. Tres días después cumplió el sueño de su vida: conocer a Messi. La vida es una simulación y todos merecemos, una vez en la vida, que se nos rompa así la matrix.
87301;Sigo sin entender por qué Messi no sigue en el Barça si era lo que realmente deseaban Club y jugador. Y de momento ni unos ni otro han sabido explicarlo de forma convincente.
99331;al final no era hincha del barca era hincha de messi
68673;en el medio de la conferencia, Messi le hizo esta carita a sus hijos https://t.co/iPftUjNB4M
26721;Me parece totalmente injusto juntar a Messi, Neymar y Mbappe. Como les competís? Tienen al mejor creador del mundo, al mejor gambeteador y al mejor goleador.  Y encima también están Neymar y Mbappe
86689;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
36706;si no me dejas por messi te dejo yo a vos por pelotuda https://t.co/kTiex7qdmM
78016;"@JoanLaportaFCB Gloriosa con Koeman, Umtiti, Roberto, Coutinho y sin Messi? Vamos Jan, eso es una burla.

P.S. Esto fue creado por la criminal gestión del BartoRosselismo pero ese comentario me entristece."
67557;aja si ahora todos muy fans de messi seguro ni saben 3 canciones de él
35905;"Estoy muy triste porque como no me pueden pagar la pilada de millones que creo que me deberían de pagar pues me tengo que ir a otro sitio donde me paguen la pilada de millones que creo que me deben de pagar. Lloro mucho. Muy triste todo.

Lo de Messi."
41794;Al Messi en pedo damelo siempre https://t.co/1lSwKBueut
14852;@SoyReferee Mis preguntas son… mucho amor a un club???  Eres multimillonario???   No podías jugar gratis si se combinan estas dos cosas??? El @FCBarcelona_es es más que Messi!!!
